xtf_id,IDE,Numero,Abreviation,Nom_TP,Nom_RC,Validite_DebutValidite,Validite_FinValidite,Validite_DateTraitement,Validite_Etat
ch14uvag00000660,CHE-107.195.388,1217,LWM,Luftseilbahn Wengen-Männlichen AG,Luftseilbahn Wengen-Männlichen AG,18000101,,20250727,20250727
ch14uvag00000633,CHE-106.909.688,1106,LMW,Luftseilbahngenossenschaft Weissenberg,Luftseilbahngenossenschaft Weissenberg,18000101,,20250727,20250727
ch14uvag00000811,CHE-107.909.691,1249,SJAG,Jaun-Gastlosen Bergbahnen AG,Jaun-Gastlosen Bergbahnen AG,19670203,,20250727,20250727
ch14uvag00000788,,1156,SCT,Einfache Gesellschaft Crappa,Einfache Gesellschaft Crappa,18000101,,20250727,20250727
ch14uvag00000495,CHE-105.949.975,129,FB,Forchbahn AG,Forchbahn AG,18000101,,20250727,20250727
ch14uvag00000385,,754,BNP,Municipalité de Nyon,Municipalité de Nyon,18000101,,20250727,20250727
ch14uvag00000353,CHE-107.290.118,1158,BBWAG,Bergbahnen Wildhaus AG,Bergbahnen Wildhaus AG,18000101,,20250727,20250727
ch14uvag00000859,CHE-107.904.274,1208,SVGa,Visit Vals AG,Visit Vals AG,18000101,,20250727,20250727
ch14uvag00000376,CHE-112.982.854,1911,BLAG,Busland AG,Busland AG,20060619,,20250727,20250727
ch14uvag00000728,CHE-107.932.891,1913,RAA,Moosalp Bergbahnen AG,Moosalp Bergbahnen AG,18000101,,20250727,20250727
ch14uvag00000881,,694,TDCA,Commune de Dorénaz,Commune de Dorénaz,18000101,,20250727,20250727
ch14uvag00000480,CHE-106.946.790,638,EMAG,"Ernst Mändli AG, Schifffahrtsbetrieb und Bootsbau","Ernst Mändli AG, Schifffahrtsbetrieb und Bootsbau",18000101,,20250727,20250727
ch14uvag00224160,CHE-114.853.446,1349,CCh,Commune de Chalais,Commune de Chalais,18000101,,20250727,20250727
ch14uvag00000659,CHE-105.966.229,1216,LWE,Luftseilbahn Wasserauen-Ebenalp AG,Luftseilbahn Wasserauen-Ebenalp AG,18000101,,20250727,20250727
ch14uvag00000622,CHE-114.850.407,584,LKE,Gemeinde Embd,Gemeinde Embd,18000101,,20250727,20250727
ch14uvag00225157,CHE-396.301.450,1359,CAS,Cassons AG,Cassons AG,20160129,,20250727,20250727
ch14uvag00000891,CHE-105.872.605,1192,TLLM,Télé-Evolène SA,Télé-Evolène SA,18000101,,20250727,20250727
ch14uvag00000689,CHE-105.816.676,615,NLM,"Navigazione sul Lago Maggiore, Gestione governativa","Navigazione sul Lago Maggiore, Gestione governativa",18000101,,20250727,20250727
ch14uvag00225161,CHE-295.745.683,690,LMR,Luftseilbahn Meiringen-Reuti AG,Luftseilbahn Meiringen-Reuti AG,20200618,,20250727,20250727
ch14uvag00000585,,809,KRÖBU,Rudolf und Heidi Gerber-Salzmann,Rudolf und Heidi Gerber-Salzmann,18000101,,20250727,20250727
ch14uvag00000572,CHE-101.310.030,1147,ITSB,San Bernardino SA Impianti Turistici,San Bernardino SA Impianti Turistici,19701026,,20250727,20250727
ch14uvag00000790,CHE-104.831.207,1027,SEA,Sportbahnen Eischoll Augstbordregion AG,Sportbahnen Eischoll Augstbordregion AG,19980917,,20250727,20250727
ch14uvag00000623,CHE-106.909.062,1084,LKM,Luftseilbahn Kies-Mettmen AG,Luftseilbahn Kies-Mettmen AG,18000101,,20250727,20250727
ch14uvag00000688,CHE-102.222.960,619,NLJ,Compagnie de navigation sur le Lac de Joux société coopérative,Compagnie de navigation sur le Lac de Joux société coopérative,19770427,,20250727,20250727
ch14uvag00000581,CHE-103.673.667,1169,KBS,Kaisereggbahnen Schwarzsee AG,Kaisereggbahnen Schwarzsee AG,18000101,,20250727,20250727
ch14uvag00000350,CHE-115.050.763,757,BBO,Gemeinde Eschenbach (SG),Gemeinde Eschenbach (SG),18000101,,20250727,20250727
ch14uvag00000554,CHE-218.049.573,5,HBS,Hafenbahn Schweiz AG,Hafenbahn Schweiz AG,20101227,,20250727,20250727
ch14uvag00000678,CHE-288.072.844,1296,MTB,Mountain Tour Bergün GmbH,Mountain Tour Bergün GmbH,18000101,,20250727,20250727
ch14uvag00000513,CHE-184.626.051,812,FRG,Förderverein Region Gantrisch,Förderverein Region Gantrisch,18000101,,20250727,20250727
ch14uvag00000398,CHE-106.067.368,408,BRSB,Braunwald-Standseilbahn AG,Braunwald-Standseilbahn AG,19940812,,20250727,20250727
ch14uvag00000709,CHE-112.242.941,7,PAG,PostAuto AG,PostAuto AG,20050223,,20250727,20250727
ch14uvag00000691,CHE-105.893.613,152,NStCM,Compagnie du chemin de fer Nyon-St-Cergue-Morez SA ,Compagnie du chemin de fer Nyon-St-Cergue-Morez SA ,19120912,,20250727,20250727
ch14uvag00000437,CHE-110.634.856,1291,CTR,Comunità del Tremorgio SA,Comunità del Tremorgio SA,20040426,,20250727,20250727
ch14uvag00380509,CHE-278.143.135,1380,BAL,Bergbahnen Adelboden-Lenk AG,Bergbahnen Adelboden-Lenk AG,18000101,,20250727,20250727
ch14uvag00000803,CHE-107.165.387,611,SGG,SCHIFFFAHRTS-GENOSSENSCHAFT GREIFENSEE,SCHIFFFAHRTS-GENOSSENSCHAFT GREIFENSEE,18000101,,20250727,20250727
ch14uvag00000968,CHE-100.928.598,87,VVT,Vapeur Val-de-Travers (VVT) ,Vapeur Val-de-Travers (VVT) ,20000519,,20250727,20250727
ch14uvag00000544,CHE-114.809.356,1276,GR,Cantone di Grigioni,Cantone di Grigioni,18000101,,20250727,20250727
ch14uvag00000802,CHE-101.918.208,1281,SGES,Seilbahngenossenschaft Embd-Schalb,Seilbahngenossenschaft Embd-Schalb,19880808,,20250727,20250727
ch14uvag00000635,CHE-105.896.876,602,LNM,LNM NAVIGATION SA,LNM NAVIGATION SA,19230905,,20250727,20250727
ch14uvag00000825,CHE-109.387.941,19,SOB,Schweizerische Südostbahn AG,Schweizerische Südostbahn AG,18000101,,20250727,20250727
ch14uvag00000629,CHE-106.008.199,1097,LLG,Luftseilbahn Leukerbad-Gemmipass AG,Luftseilbahn Leukerbad-Gemmipass AG,18000101,,20250727,20250727
ch14uvag00000338,CHE-110.512.992,1041,BA,Bergbahnen Adelboden AG,Bergbahnen Adelboden AG,20040203,,20250727,20250727
ch14uvag00000525,CHE-112.513.264,1100,G3AG,Gstaad 3000 AG,Gstaad 3000 AG,18000101,,20250727,20250727
ch14uvag00000531,CHE-493.313.204,1239,GBD,Grimmialpbergbahnen Diemtigtal AG,Grimmialpbergbahnen Diemtigtal AG,20120116,,20250727,20250727
